date,white,white_elo,black,black_elo,opening
2021.03.02,ItzSW2,1052,Chavulani,999,"Bongcloud Attack"
2021.03.02,JesusCB,1917,Raminjafari47,1907,"Bongcloud Attack"
2021.03.02,EsauSolis,1617,piratovk,1622,"Bongcloud Attack"
2021.03.02,Pieos,1109,Amogham,1246,"Bongcloud Attack"
2021.03.02,TreaT_sc2,1420,luigianedda,1373,"Bongcloud Attack"
2021.03.02,Elixs,1042,Laiswell,1392,"Bongcloud Attack"
2021.03.02,rakaadityakuncara,1606,generalsterlingprice,1635,"Bongcloud Attack"
2021.03.02,nurunurdil,1136,Denmasss,1193,"Bongcloud Attack"
2021.03.02,KrishnaKomalMitra,1487,bjakazi,1490,"Bongcloud Attack"
2021.03.02,rcchua,1437,SmallToh,1285,"Bongcloud Attack"
2021.03.02,Reztastik,1558,amiya1212,1502,"Bongcloud Attack"
2021.03.02,Aziemah,1500,sharifahdariah,1500,"Bongcloud Attack"
2021.03.02,Akatshego,1660,alalala123ala,1658,"Bongcloud Attack"
2021.03.02,FiMHarlenx,1500,JohnBestBlunder,1607,"Bongcloud Attack"
2021.03.02,aaronjohndelasalas,1370,SlSL22,1268,"Bongcloud Attack"
2021.03.02,rakaadityakuncara,1565,Rahulbittu,1581,"Bongcloud Attack"
2021.03.02,No_blindes,727,ovOShNoy,908,"Bongcloud Attack"
2021.03.02,EricT-51,1214,MaxK5_1,1485,"Bongcloud Attack"
2021.03.02,EA2123,1036,shahmatnij_kot,1127,"Bongcloud Attack"
2021.03.02,Gamebro78,1742,vsuponev,1733,"Bongcloud Attack"
2021.03.02,agadagada,1640,waller511,1679,"Bongcloud Attack"
2021.03.02,C0ochieman,1193,ChrisH1983,1214,"Bongcloud Attack"
2021.03.02,Maarkiitooss,1269,Gamesrik456,1482,"Bongcloud Attack"
2021.03.02,earlygrab,1133,uma478,1195,"Bongcloud Attack"
2021.03.02,C0ochieman,1178,N_Kamolov,1103,"Bongcloud Attack"
2021.03.02,C0ochieman,1165,Akifispirli,1247,"Bongcloud Attack"
2021.03.02,C0ochieman,1161,DJ313,1165,"Bongcloud Attack"
2021.03.02,C0ochieman,1145,GENAROO,1185,"Bongcloud Attack"
2021.03.02,C0ochieman,1134,enes3455,1242,"Bongcloud Attack"
2021.03.02,shiraizu,1364,sinergy05,1381,"Bongcloud Attack"
2021.03.02,shiraizu,1377,dafuqx,1364,"Bongcloud Attack"
2021.03.02,hijklm39,1264,Honeyto9,1180,"Bongcloud Attack"
2021.03.02,dankeykang2020,1322,Sorken,1296,"Bongcloud Attack"
2021.03.02,Mao_Meriodasu,1094,giu_pereira77,1057,"Bongcloud Attack"
2021.03.02,Super_Nova_Cat,1739,ultraleicht,1658,"Bongcloud Attack"
2021.03.02,essd8,1259,strega,1196,"Bongcloud Attack"
2021.03.02,Skanderw,1102,abdelhak20031711,1074,"Bongcloud Attack"
2021.03.02,Sherinegirl,901,chessmalte,861,"Bongcloud Attack"
2021.03.02,BalancedBeekeeper,1375,FactualCariboo,1005,"Bongcloud Attack"
2021.03.02,blimdtakes,1170,heaveNNN,1220,"Bongcloud Attack"
2021.03.02,Super_Nova_Cat,1703,hydralisk2020,1652,"Bongcloud Attack"
2021.03.02,arascetiner,739,matador3481,1359,"Bongcloud Attack"
2021.03.02,MaximeJaccon,1469,Andres7116,1019,"Bongcloud Attack"
2021.03.02,Herpherp,1087,dykmannick,1103,"Bongcloud Attack"
2021.03.02,Slavisaaa,1899,Bodegon02,1556,"Bongcloud Attack"
2021.03.02,AprilCoco,1359,Ad325,1343,"Bongcloud Attack"
2021.03.02,RoundishVirus11,881,furkanozun,939,"Bongcloud Attack"
2021.03.02,oldbudgie,978,appopay,1021,"Bongcloud Attack"
